x	insertSortbest*1000	insertSortaverage	insertSortworst	selectionSortbest	selectionSortaverage	selectionSortworst	mergebest	mergeaverage	mergeworst
437 1500 2047.5 1344 1924 2884 2700 312.5 298 297.5
438 1500 2700 1331.5 2106 1942 2463.5 357 325 244.5
439 1000 2177.5 1195.5 1953 1933.5 2089 264 224 224
440 1000 2528 1640.5 3258.5 2552 2538 252.5 238 224.5
441 1000 2092 1231.5 2014.5 1997 2356.5 657.5 329.5 478.5
442 2000 2770.5 1739.5 2629.5 2324.5 2335.5 242 230.5 229
443 1000 2619 1807 2206.5 2061 2064 264.5 242 238.5
444 1000 2192 1692.5 3152.5 2599.5 3280.5 316 312 336
445 2000 2759 1670 2525.5 1995.5 2090 323 352.5 352
446 2000 3582 1662.5 2572.5 2128.5 2716 336 233.5 227.5
447 1000 2626 1807 2516.5 2065.5 2106 274.5 266 264
448 1000 3535 1796 2988.5 2468.5 2094.5 251 232.5 242.5
449 1000 2183.5 1251 2032 2058 2019 426 294.5 339.5
450 2000 2773.5 1516.5 2270.5 2485 2712 354 288.5 296.5
